name,addr,type
PAST_ALM_ESTOP,DB32.X0.0,BOOL
PAST_ALM_AIR,DB32.X0.2,BOOL
PAST_ALM_FEED_FB,DB32.X0.4,BOOL
PAST_ALM_FEED_TRIP,DB32.X0.5,BOOL
PAST_ALM_PMST_FB,DB32.X1.0,BOOL
PAST_ALM_PMST_AGIT,DB32.X1.1,BOOL
PAST_ALM_HOMO_FS,DB32.X1.2,BOOL
PAST_ALM_FLOW,DB32.X1.3,BOOL
PAST_ALM_LOW_LONG,DB32.X1.5,BOOL
PAST_ALM_BAL_HI,DB32.X2.0,BOOL
PAST_ALM_BAL_LO,DB32.X2.1,BOOL
PAST_ALM_HOT_LO,DB32.X3.0,BOOL
PAST_ALM_HOT_HI,DB32.X3.1,BOOL
PAST_ALM_OUT_LO,DB32.X3.2,BOOL
PAST_ALM_OUT_HI,DB32.X3.3,BOOL
PAST_ALM_PMST_HI,DB70.X0.1,BOOL
AI1,DB1.DBD204,REAL
AI2,DB1.DBD208,REAL
AI3,DB1.DBD212,REAL
AI4,DB1.DBD216,REAL
AI5,DB1.DBD220,REAL
AI6,DB1.DBD224,REAL
AI7,DB1.DBD228,REAL
AI8,DB1.DBD232,REAL
AI9,DB12.DBD526,REAL
AO1,DB34.DBD70,REAL
AO2,DB41.DBD20,REAL
AO3,DB43.DBD20,REAL
PMST_HIGH,DB1.X793.0,BOOL
PMST_LOW,DB1.X793.1,BOOL
FEED_PUMP,DB1.X819.3,BOOL
HOMO_START,DB1.X819.4,BOOL
HOMO_STOP,DB1.X819.5,BOOL
BOOST_PUMP,DB1.X793.5,BOOL
RM_PUMP,DB72.X0.0,BOOL
SV1,DB1.X816.0,BOOL
SV2,DB1.X816.1,BOOL
SV3,DB1.X816.2,BOOL
SV4,DB1.X816.3,BOOL
SV5,DB1.X816.5,BOOL
SV6,DB1.X816.6,BOOL
SV7,DB1.X816.7,BOOL
SV8,DB1.X816.8,BOOL
SV9,DB1.X817.0,BOOL
SV10,DB1.X817.1,BOOL
SV11,DB1.X817.2,BOOL
SV12,DB1.X817.4,BOOL
SV13,DB1.X817.3,BOOL
SV14,DB1.X817.5,BOOL
SV15,DB1.X817.6,BOOL
SV16,DB1.X817.7,BOOL
SV17,DB1.X818.0,BOOL
SV18,DB1.X818.1,BOOL
SV19,DB1.X818.2,BOOL
SV20,DB1.X818.3,BOOL
SV21,DB1.X818.4,BOOL
