name,addr,type
REC_ALM_ESTOP,DB8,X4.0,BOOL
REC_ALM_AIR,DB8,X4.1,BOOL
REC_ALM_SPP,DB8,X4.2,BOOL
REC_ALM_RCM_HI,DB8,X4.3,BOOL
REC_ALM_RMST_HI,DB8,X4.4,BOOL
REC_ALM_SEP,DB8,X4.5,BOOL
REC_ALM_VENTURI,DB8,X4.6,BOOL
REC_ALM_RCM_AGIT,DB8,X4.7,BOOL
REC_ALM_RMST_AGIT,DB8,X5.0,BOOL
REC_ALM_CHILL,DB8,X5.1,BOOL
CIP_ALM_ESTOP,DB10,X0.0,BOOL
CIP_ALM_AIR,DB10,X0.2,BOOL
CIP_ALM_SPL,DB10,X0.3,BOOL
CIP_ALM_SUP_FB,DB10,X0.4,BOOL
CIP_ALM_RET_FS,DB10,X0.6,BOOL
CIP_ALM_RT_LL,DB10,X2.1,BOOL
CIP_ALM_HT_LL,DB10,X2.2,BOOL
CIP_ALM_LT_LL,DB10,X2.3,BOOL
CIP_ALM_AT_LL,DB10,X2.4,BOOL
CIP_ALM_FLOW_LO,DB10,X3.0,BOOL
PAST_ALM_ESTOP,DB32,X0.0,BOOL
PAST_ALM_AIR,DB32,X0.2,BOOL
PAST_ALM_FEED_FB,DB32,X0.4,BOOL
PAST_ALM_FEED_TRIP,DB32,X0.5,BOOL
PAST_ALM_PMST_FB,DB32,X1.0,BOOL
PAST_ALM_PMST_AGIT,DB32,X1.1,BOOL
PAST_ALM_HOMO_FS,DB32,X1.2,BOOL
PAST_ALM_FLOW,DB32,X1.3,BOOL
PAST_ALM_LOW_LONG,DB32,X1.5,BOOL
PAST_ALM_BAL_HI,DB32,X2.0,BOOL
PAST_ALM_BAL_LO,DB32,X2.1,BOOL
PAST_ALM_HOT_LO,DB32,X3.0,BOOL
PAST_ALM_HOT_HI,DB32,X3.1,BOOL
PAST_ALM_OUT_LO,DB32,X3.2,BOOL
PAST_ALM_OUT_HI,DB32,X3.3,BOOL
PAST_ALM_PMST_HI,DB70,X0.1,BOOL
CRIT_ALERT,DB1,X2594.0,BOOL
WARN_ALERT,DB1,X2594.1,BOOL
ACCEPT_PB,DB1,X2600.2,BOOL
TT1,DB3,REAL406,REAL
TT2,DB3,REAL428,REAL
TT3,DB3,REAL450,REAL
TT4,DB3,REAL472,REAL
TT5,DB3,REAL494,REAL
TT6,DB3,REAL516,REAL
TT7,DB3,REAL620,REAL
FM1,DB9,REAL48,REAL
FM2,DB9,REAL52,REAL
VFD1_SP,DB3,REAL140,REAL
VFD2_SP,DB3,REAL362,REAL
VFD1_HZ,DB14,REAL66,REAL
VFD2_HZ,DB14,REAL70,REAL
RECEP_FLOW_SP,DB3,REAL18,REAL
RMST_OUT_SP,DB3,REAL22,REAL
TOT_RECEPTION,DB3,REAL594,REAL
TOT_WATER_FLUSH,DB3,REAL274,REAL
RCM_HIGH,DB1,X0.6,BOOL
RCM_LOW,DB1,X0.7,BOOL
RMST_HIGH,DB1,X1.0,BOOL
RMST_LOW,DB1,X1.1,BOOL
unloadTankRCM,DB3,X0.4,BOOL
unloadTankRMST,DB3,X0.5,BOOL
destRcmTank,DB3,X12.0,BOOL
destRmstTank,DB3,X12.1,BOOL
AI1,DB1,REAL204,REAL
AI2,DB1,REAL208,REAL
AI3,DB1,REAL212,REAL
AI4,DB1,REAL216,REAL
AI5,DB1,REAL220,REAL
AI6,DB1,REAL224,REAL
AI7,DB1,REAL228,REAL
AI8,DB1,REAL232,REAL
AI9,DB12,REAL526,REAL
AO1,DB34,REAL70,REAL
AO2,DB41,REAL20,REAL
AO3,DB43,REAL20,REAL
PMST_HIGH,DB1,X793.0,BOOL
PMST_LOW,DB1,X793.1,BOOL
CT2,DB12,REAL6,REAL
CT3,DB13,REAL6,REAL
CT4,DB14,REAL6,REAL
CT5,DB15,REAL6,REAL
CT6,DB16,REAL6,REAL
CF1,DB19,REAL6,REAL
CC1,DB20,REAL6,REAL
CIP_VFD_SP,DB53,REAL70,REAL
CIP_VFD_RUN,DB5,X1.5,BOOL
CIP_VFD_TRIP,DB5,X1.6,BOOL
HW_HIGH,DB5,X0.7,BOOL
HW_LOW,DB5,X1.0,BOOL
LYE_HIGH,DB5,X1.1,BOOL
LYE_LOW,DB5,X1.2,BOOL
ACID_HIGH,DB5,X1.3,BOOL
ACID_LOW,DB5,X1.4,BOOL
BFV_3,DB5,X24.2,BOOL
BFV_4,DB5,X24.3,BOOL
BFV_5,DB5,X24.4,BOOL
BFV_6,DB5,X25.5,BOOL
BFV_7,DB5,X24.6,BOOL
BFV_8,DB5,X24.7,BOOL
BFV_9,DB5,X25.0,BOOL
BFV_10,DB5,X25.1,BOOL
BFV_11,DB5,X25.2,BOOL
BFV_12,DB5,X25.3,BOOL
BFV_13,DB5,X25.4,BOOL
BFV_14,DB5,X25.5,BOOL
BFV_15,DB5,X25.6,BOOL
BFV_16,DB5,X25.7,BOOL
BFV_17,DB5,X26.0,BOOL
BFV_18,DB5,X26.1,BOOL
BFV_19,DB5,X26.2,BOOL
BFV_20,DB5,X26.3,BOOL
Sup_Pump,DB5,X26.4,BOOL
ADP,DB5,X26.5,BOOL
LDP,DB5,X26.6,BOOL
SV1,DB1,X816.0,BOOL
SV2,DB1,X816.1,BOOL
SV3,DB1,X816.2,BOOL
SV4,DB1,X816.3,BOOL
SV5,DB1,X816.5,BOOL
SV6,DB1,X816.6,BOOL
SV7,DB1,X816.7,BOOL
SV8,DB1,X816.8,BOOL
