"DB8,X4.0",REC_ALM_ESTOP
"DB8,X4.1",REC_ALM_AIR
"DB8,X4.2",REC_ALM_SPP
"DB8,X4.3",REC_ALM_RCM_HI
"DB8,X4.4",REC_ALM_RMST_HI
"DB8,X4.5",REC_ALM_SEP
"DB8,X4.6",REC_ALM_VENTURI
"DB8,X4.7",REC_ALM_RCM_AGIT
"DB8,X5.0",REC_ALM_RMST_AGIT
"DB8,X5.1",REC_ALM_CHILL
"DB1,X2594.0",CRIT_ALERT
"DB1,X2594.1",WARN_ALERT
"DB1,X2600.2",ACCEPT_PB
"DB3,REAL406",TT1
"DB3,REAL428",TT2
"DB3,REAL450",TT3
"DB3,REAL472",TT4
"DB3,REAL494",TT5
"DB3,REAL516",TT6
"DB3,REAL620",TT7
"DB9,REAL48",FM1
"DB9,REAL52",FM2
"DB3,REAL140",VFD1_SP
"DB3,REAL362",VFD2_SP
"DB14,REAL66",VFD1_HZ
"DB14,REAL70",VFD2_HZ
"DB3,REAL18",RECEP_FLOW_SP
"DB3,REAL22",RMST_OUT_SP
"DB3,REAL594",TOT_RECEPTION
"DB3,REAL274",TOT_WATER_FLUSH
"DB1,X0.6",RCM_HIGH
"DB1,X0.7",RCM_LOW
"DB1,X1.0",RMST_HIGH
"DB1,X1.1",RMST_LOW
"DB3,X0.4",unloadTankRCM
"DB3,X0.5",unloadTankRMST
"DB3,X12.0",destRcmTank
"DB3,X12.1",destRmstTank
