PAST_ALM_ESTOP,DB32.X0.0
PAST_ALM_AIR,DB32.X0.2
PAST_ALM_FEED_FB,DB32.X0.4
PAST_ALM_FEED_TRIP,DB32.X0.5
PAST_ALM_PMST_FB,DB32.X1.0
PAST_ALM_PMST_AGIT,DB32.X1.1
PAST_ALM_HOMO_FS,DB32.X1.2
PAST_ALM_FLOW,DB32.X1.3
PAST_ALM_LOW_LONG,DB32.X1.5
PAST_ALM_BAL_HI,DB32.X2.0
PAST_ALM_BAL_LO,DB32.X2.1
PAST_ALM_HOT_LO,DB32.X3.0
PAST_ALM_HOT_HI,DB32.X3.1
PAST_ALM_OUT_LO,DB32.X3.2
PAST_ALM_OUT_HI,DB32.X3.3
PAST_ALM_PMST_HI,DB70.X0.1
AI1,DB1.DBD204
AI2,DB1.DBD208
AI3,DB1.DBD212
AI4,DB1.DBD216
AI5,DB1.DBD220
AI6,DB1.DBD224
AI7,DB1.DBD228
AI8,DB1.DBD232
AI9,DB12.DBD526
AO1,DB34.DBD70
AO2,DB41.DBD20
AO3,DB43.DBD20
PMST_HIGH,DB1.X793.0
PMST_LOW,DB1.X793.1
FEED_PUMP,DB1.X819.3
HOMO_START,DB1.X819.4
HOMO_STOP,DB1.X819.5
BOOST_PUMP,DB1.X793.5
RM_PUMP,DB72.X0.0
SV1,DB1.X816.0
SV2,DB1.X816.1
SV3,DB1.X816.2
SV4,DB1.X816.3
SV5,DB1.X816.5
SV6,DB1.X816.6
SV7,DB1.X816.7
SV8,DB1.X816.8
SV9,DB1.X817.0
SV10,DB1.X817.1
SV11,DB1.X817.2
SV12,DB1.X817.4
SV13,DB1.X817.3
SV14,DB1.X817.5
SV15,DB1.X817.6
SV16,DB1.X817.7
SV17,DB1.X818.0
SV18,DB1.X818.1
SV19,DB1.X818.2
SV20,DB1.X818.3
SV21,DB1.X818.4
