"DB32,X0.0",PAST_ALM_ESTOP
"DB32,X0.2",PAST_ALM_AIR
"DB32,X0.4",PAST_ALM_FEED_FB
"DB32,X0.5",PAST_ALM_FEED_TRIP
"DB32,X1.0",PAST_ALM_PMST_FB
"DB32,X1.1",PAST_ALM_PMST_AGIT
"DB32,X1.2",PAST_ALM_HOMO_FS
"DB32,X1.3",PAST_ALM_FLOW
"DB32,X1.5",PAST_ALM_LOW_LONG
"DB32,X2.0",PAST_ALM_BAL_HI
"DB32,X2.1",PAST_ALM_BAL_LO
"DB32,X3.0",PAST_ALM_HOT_LO
"DB32,X3.1",PAST_ALM_HOT_HI
"DB32,X3.2",PAST_ALM_OUT_LO
"DB32,X3.3",PAST_ALM_OUT_HI
"DB70,X0.1",PAST_ALM_PMST_HI
"DB1,REAL204",AI1
"DB1,REAL208",AI2
"DB1,REAL212",AI3
"DB1,REAL216",AI4
"DB1,REAL220",AI5
"DB1,REAL224",AI6
"DB1,REAL228",AI7
"DB1,REAL232",AI8
"DB12,REAL526",AI9
"DB34,REAL70",AO1
"DB41,REAL20",AO2
"DB43,REAL20",AO3
"DB1,X793.0",PMST_HIGH
"DB1,X793.1",PMST_LOW
"DB1,X819.3",FEED_PUMP
"DB1,X819.4",HOMO_START
"DB1,X819.5",HOMO_STOP
"DB1,X793.5",BOOST_PUMP
"DB72,X0.0",RM_PUMP
"DB1,X816.0",SV1
"DB1,X816.1",SV2
"DB1,X816.2",SV3
"DB1,X816.3",SV4
"DB1,X816.5",SV5
"DB1,X816.6",SV6
"DB1,X816.7",SV7
"DB1,X816.8",SV8
"DB1,X817.0",SV9
"DB1,X817.1",SV10
"DB1,X817.2",SV11
"DB1,X817.4",SV12
"DB1,X817.3",SV13
"DB1,X817.5",SV14
"DB1,X817.6",SV15
"DB1,X817.7",SV16
"DB1,X818.0",SV17
"DB1,X818.1",SV18
"DB1,X818.2",SV19
"DB1,X818.3",SV20
"DB1,X818.4",SV21
