REC_ALM_ESTOP,DB8.X4.0
REC_ALM_AIR,DB8.X4.1
REC_ALM_SPP,DB8.X4.2
REC_ALM_RCM_HI,DB8.X4.3
REC_ALM_RMST_HI,DB8.X4.4
REC_ALM_SEP,DB8.X4.5
REC_ALM_VENTURI,DB8.X4.6
REC_ALM_RCM_AGIT,DB8.X4.7
REC_ALM_RMST_AGIT,DB8.X5.0
REC_ALM_CHILL,DB8.X5.1
CRIT_ALERT,DB1.X2594.0
WARN_ALERT,DB1.X2594.1
ACCEPT_PB,DB1.X2600.2
TT1,DB3.DBD406
TT2,DB3.DBD428
TT3,DB3.DBD450
TT4,DB3.DBD472
TT5,DB3.DBD494
TT6,DB3.DBD516
TT7,DB3.DBD620
FM1,DB9.DBD48
FM2,DB9.DBD52
VFD1_SP,DB3.DBD140
VFD2_SP,DB3.DBD362
VFD1_HZ,DB14.DBD66
VFD2_HZ,DB14.DBD70
RECEP_FLOW_SP,DB3.DBD18
RMST_OUT_SP,DB3.DBD22
TOT_RECEPTION,DB3.DBD594
TOT_WATER_FLUSH,DB3.DBD274
RCM_HIGH,DB1.X0.6
RCM_LOW,DB1.X0.7
RMST_HIGH,DB1.X1.0
RMST_LOW,DB1.X1.1
unloadTankRCM,DB3.X0.4
unloadTankRMST,DB3.X0.5
destRcmTank,DB3.X12.0
destRmstTank,DB3.X12.1
